"ssrm","ssr","sy","hsr","d","ha","sa","YsupInvades","AsupIsLost","XsrYsupAsupEqbm","XsrYsupCycling","AsupXsrYsupCycling"
0,0.1,0.5,0.4,0.4,0.5,0.5,"Yes","Yes","Yes","No","No"
0,0.1,0.6,0.4,0.4,0.5,0.6,"Yes","Yes","Yes","No","No"
0,0.1,0.1,0.4,0.2,0,0.1,"Yes","Yes","Yes","No","No"
0,0.2,0.1,0.4,0.4,0.5,0.1,"Yes","Yes","No","Stable Cycling","No"
0,0.2,0.2,0.4,0.4,0.5,0.2,"Yes","Yes","No","Stable Cycling","No"
0,0.2,0.3,0.4,0.4,0.5,0.3,"Yes","Yes","No","Stable Cycling","No"
0,0.2,0.4,0.4,0.4,0.5,0.4,"Yes","Yes","No","Stable Cycling","No"
0,0.2,0.5,0.4,0.4,0.5,0.5,"Yes","Yes","No","Stable Cycling","No"
0,0.2,0.6,0.4,0.4,0.5,0.6,"Yes","Yes","No","Stable Cycling","No"
0,0.2,0.1,0.4,0.4,0,0.1,"Yes","No","No","Stable Cycling","Stable Cycling"
0,0.2,0.2,0.4,0.4,0,0.2,"Yes","No","Yes","Dampened Cycling","Dampened Cycling"
0,0.2,0.3,0.4,0.4,0,0.3,"Yes","No","Yes","No","No"
0,0.2,0.1,0.4,0.4,1,0.1,"Yes","Yes","No","Stable Cycling","No"
0,0.2,0.4,0.4,0.4,1,0.4,"Yes","Yes","Yes","No","No"
0,0.3,0.1,0.4,0.4,0.5,0.1,"Yes","Yes","No","Dampened Cycling","No"
0,0.3,0.2,0.4,0.4,0.5,0.2,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.3,0.4,0.4,0.5,0.3,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.4,0.4,0.4,0.5,0.4,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.5,0.4,0.4,0.5,0.5,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.6,0.4,0.4,0.5,0.6,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.1,0.4,0.4,0,0.1,"Yes","No","Yes","Dampened Cycling","Dampened Cycling"
0,0.3,0.2,0.4,0.4,0,0.2,"Yes","No","Yes","No","No"
0,0.3,0.1,0.4,0.4,1,0.1,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.2,0.4,0.4,1,0.2,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.3,0.4,0.4,1,0.3,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.4,0.4,0.4,1,0.4,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.5,0.4,0.4,1,0.5,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.6,0.4,0.4,1,0.6,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.7,0.4,0.4,1,0.7,"Yes","Yes","No","Stable Cycling","No"
0,0.1,0.5,0.6,0.4,0.5,0.5,"Yes","Yes","Yes","No","No"
0,0.2,0.1,0.6,0.2,0.5,0.1,"Yes","Yes","Yes","No","No"
0,0.2,0.1,0.6,0.2,0,0.1,"Yes","No","No","Stable Cycling","Stable Cycling"
0,0.2,0.1,0.6,0.4,0,0.1,"Yes","No","No","Stable Cycling","Stable Cycling"
0,0.2,0.2,0.6,0.2,0,0.2,"Yes","No","No","No","No"
0,0.2,0.2,0.6,0.4,0,0.2,"Yes","No","Yes","No","No"
0,0.3,0.1,0.6,0.4,0.5,0.1,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.2,0.6,0.4,0.5,0.2,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.3,0.6,0.4,0.5,0.3,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.4,0.6,0.4,0.5,0.4,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.5,0.6,0.4,0.5,0.5,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.1,0.6,0.4,0,0.1,"Yes","No","No","Stable Cycling","Stable Cycling"
0,0.3,0.2,0.6,0.4,0,0.2,"Yes","No","Yes","No","No"
0,0.3,0.1,0.6,0.4,1,0.1,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.2,0.6,0.4,1,0.2,"Yes","Yes","Yes","No","No"
0,0.4,0.1,0.6,0.4,0.5,0.1,"Yes","Yes","No","Stable Cycling","No"
0,0.4,0.2,0.6,0.4,0.5,0.2,"Yes","Yes","No","Stable Cycling","No"
0,0.4,0.3,0.6,0.4,0.5,0.3,"Yes","Yes","No","Stable Cycling","No"
0,0.4,0.4,0.6,0.4,0.5,0.4,"Yes","Yes","No","Stable Cycling","No"
0,0.4,0.5,0.6,0.4,0.5,0.5,"Yes","Yes","No","Stable Cycling","No"
0,0.4,0.1,0.6,0.4,1,0.1,"Yes","Yes","No","Stable Cycling","No"
0,0.4,0.2,0.6,0.4,1,0.2,"Yes","Yes","No","Stable Cycling","No"
0,0.4,0.3,0.6,0.4,1,0.3,"Yes","Yes","No","Stable Cycling","No"
0,0.4,0.4,0.6,0.4,1,0.4,"Yes","Yes","No","Stable Cycling","No"
0,0.4,0.5,0.6,0.4,1,0.5,"Yes","Yes","No","Stable Cycling","No"
0,0.1,0.5,0,0.4,0.5,0.5,"Yes","Yes","Yes","No","No"
0,0.1,0.6,0,0.4,0.5,0.6,"Yes","Yes","Yes","No","No"
0,0.2,0.4,0,0.4,0.5,0.4,"Yes","Yes","Yes","Dampened Cycling","No"
0,0.2,0.5,0,0.4,0.5,0.5,"Yes","Yes","Yes","Dampened Cycling","No"
0,0.2,0.6,0,0.4,0.5,0.6,"Yes","Yes","Yes","Dampened Cycling","No"
0,0.2,0.4,0,0.4,1,0.4,"Yes","Yes","Yes","Dampened Cycling","No"
0,0.2,0.5,0,0.4,1,0.5,"Yes","Yes","Yes","Dampened Cycling","No"
0,0.2,0.6,0,0.4,1,0.6,"Yes","Yes","Yes","Dampened Cycling","No"
0,0.2,0.7,0,0.4,1,0.7,"Yes","Yes","Yes","Dampened Cycling","No"
0,0.1,0.5,0.4,0.4,0.5,0.6,"Yes","Yes","Yes","No","No"
0,0.1,0.6,0.4,0.4,0.5,0.7,"Yes","Yes","Yes","No","No"
0,0.2,0.1,0.4,0.4,0.5,0.2,"Yes","Yes","No","Stable Cycling","No"
0,0.2,0.2,0.4,0.4,0.5,0.3,"Yes","Yes","Yes","No","No"
0,0.2,0.4,0.4,0.4,0.5,0.5,"Yes","Yes","Yes","No","No"
0,0.2,0.5,0.4,0.4,0.5,0.6,"Yes","Yes","Yes","No","No"
0,0.2,0.6,0.4,0.4,0.5,0.7,"Yes","Yes","Yes","No","No"
0,0.2,0.1,0.4,0.4,0,0.2,"Yes","No","No","Stable Cycling","Stable Cycling"
0,0.2,0.2,0.4,0.4,0,0.3,"Yes","No","Yes","Dampened Cycling","Dampened Cycling"
0,0.2,0.3,0.4,0.4,0,0.4,"Yes","No","Yes","Dampened Cycling","Dampened Cycling"
0,0.3,0.1,0.4,0.4,0.5,0.2,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.2,0.4,0.4,0.5,0.3,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.3,0.4,0.4,0.5,0.4,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.4,0.4,0.4,0.5,0.5,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.5,0.4,0.4,0.5,0.6,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.6,0.4,0.4,0.5,0.7,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.1,0.4,0.4,0,0.2,"Yes","No","Yes","Dampened Cycling","Dampened Cycling"
0,0.3,0.2,0.4,0.4,0,0.3,"Yes","No","Yes","Dampened Cycling","Dampened Cycling"
0,0.3,0.3,0.4,0.4,0,0.4,"Yes","No","Yes","No","No"
0,0.3,0.1,0.4,0.4,1,0.2,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.2,0.4,0.4,1,0.3,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.3,0.4,0.4,1,0.4,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.4,0.4,0.4,1,0.5,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.5,0.4,0.4,1,0.6,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.6,0.4,0.4,1,0.7,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.7,0.4,0.4,1,0.8,"Yes","Yes","No","Stable Cycling","No"
0,0.2,0.4,0.6,0.4,0.5,0.5,"Yes","Yes","Yes","No","No"
0,0.2,0.1,0.6,0.2,0,0.2,"Yes","No","Yes","No","No"
0,0.2,0.1,0.6,0.4,0,0.2,"Yes","Yes","Yes","No","No"
0,0.3,0.1,0.6,0.4,0.5,0.2,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.2,0.6,0.4,0.5,0.3,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.1,0.6,0.4,0,0.2,"Yes","No","No","Stable Cycling","Stable Cycling"
0,0.3,0.2,0.6,0.4,0,0.3,"Yes","No","Yes","Dampened Cycling","Dampened Cycling"
0,0.3,0.3,0.6,0.4,0,0.4,"Yes","No","Yes","No","No"
0,0.3,0.1,0.6,0.4,1,0.2,"Yes","Yes","Yes","No","No"
0,0.4,0.1,0.6,0.4,0.5,0.2,"Yes","Yes","No","Stable Cycling","No"
0,0.4,0.2,0.6,0.4,0.5,0.3,"Yes","Yes","No","Stable Cycling","No"
0,0.4,0.3,0.6,0.4,0.5,0.4,"Yes","Yes","No","Stable Cycling","No"
0,0.4,0.4,0.6,0.4,0.5,0.5,"Yes","Yes","No","Stable Cycling","No"
0,0.4,0.5,0.6,0.4,0.5,0.6,"Yes","Yes","No","Stable Cycling","No"
0,0.4,0.1,0.6,0.4,0,0.2,"Yes","No","Yes","No","No"
0,0.4,0.1,0.6,0.4,1,0.2,"Yes","Yes","No","Stable Cycling","No"
0,0.4,0.2,0.6,0.4,1,0.3,"Yes","Yes","No","Stable Cycling","No"
0,0.4,0.3,0.6,0.4,1,0.4,"Yes","Yes","No","Stable Cycling","No"
0,0.4,0.4,0.6,0.4,1,0.5,"Yes","Yes","No","Stable Cycling","No"
0,0.1,0.5,0,0.4,0.5,0.6,"Yes","Yes","Yes","No","No"
0,0.1,0.6,0,0.4,0.5,0.7,"Yes","Yes","Yes","No","No"
0,0.2,0.4,0,0.4,0.5,0.5,"Yes","Yes","Yes","Dampened Cycling","No"
0,0.2,0.5,0,0.4,0.5,0.6,"Yes","Yes","Yes","Dampened Cycling","No"
0,0.2,0.6,0,0.4,0.5,0.7,"Yes","Yes","Yes","Dampened Cycling","No"
0,0.2,0.4,0,0.4,1,0.5,"Yes","Yes","Yes","Dampened Cycling","No"
0,0.2,0.5,0,0.4,1,0.6,"Yes","Yes","Yes","Dampened Cycling","No"
0,0.2,0.6,0,0.4,1,0.7,"Yes","Yes","Yes","Dampened Cycling","No"
0,0.2,0.7,0,0.4,1,0.8,"Yes","Yes","Yes","Dampened Cycling","No"
0,0.1,0.5,0.4,0.4,0.5,0.4,"Yes","Yes","Yes","No","No"
0,0.1,0.5,0.4,0.4,1,0.4,"Yes","Yes","Yes","No","No"
0,0.1,0.6,0.4,0.4,1,0.5,"Yes","Yes","Yes","No","No"
0,0.2,0.2,0.4,0.4,0.5,0.1,"Yes","Yes","No","Stable Cycling","No"
0,0.2,0.3,0.4,0.4,0.5,0.2,"Yes","Yes","No","Stable Cycling","No"
0,0.2,0.4,0.4,0.4,0.5,0.3,"Yes","Yes","No","Stable Cycling","No"
0,0.2,0.5,0.4,0.4,0.5,0.4,"Yes","Yes","No","Stable Cycling","No"
0,0.2,0.2,0.4,0.4,1,0.1,"Yes","Yes","No","Stable Cycling","No"
0,0.2,0.3,0.4,0.4,1,0.2,"Yes","Yes","No","Stable Cycling","No"
0,0.2,0.4,0.4,0.4,1,0.3,"Yes","Yes","Yes","No","No"
0,0.2,0.5,0.4,0.4,1,0.4,"Yes","Yes","Yes","No","No"
0,0.3,0.2,0.4,0.4,0.5,0.1,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.3,0.4,0.4,0.5,0.2,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.4,0.4,0.4,0.5,0.3,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.5,0.4,0.4,0.5,0.4,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.2,0.4,0.4,1,0.1,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.3,0.4,0.4,1,0.2,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.4,0.4,0.4,1,0.3,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.5,0.4,0.4,1,0.4,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.6,0.4,0.4,1,0.5,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.7,0.4,0.4,1,0.6,"Yes","Yes","No","Stable Cycling","No"
0,0.1,0.5,0.6,0.4,0.5,0.4,"Yes","Yes","Yes","No","No"
0,0.2,0.2,0.6,0.4,0.5,0.1,"Yes","Yes","No","Stable Cycling","No"
0,0.2,0.2,0.6,0.4,0,0.1,"Yes","No","Yes","No","No"
0,0.3,0.2,0.6,0.4,0.5,0.1,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.3,0.6,0.4,0.5,0.2,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.4,0.6,0.4,0.5,0.3,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.5,0.6,0.4,0.5,0.4,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.2,0.6,0.4,1,0.1,"Yes","Yes","No","Stable Cycling","No"
0,0.3,0.3,0.6,0.4,1,0.2,"Yes","Yes","No","Stable Cycling","No"
0,0.4,0.2,0.6,0.4,0.5,0.1,"Yes","Yes","No","Stable Cycling","No"
0,0.4,0.3,0.6,0.4,0.5,0.2,"Yes","Yes","No","Stable Cycling","No"
0,0.4,0.4,0.6,0.4,0.5,0.3,"Yes","Yes","No","Stable Cycling","No"
0,0.4,0.5,0.6,0.4,0.5,0.4,"Yes","Yes","No","Stable Cycling","No"
0,0.4,0.2,0.6,0.4,1,0.1,"Yes","Yes","No","Stable Cycling","No"
0,0.4,0.3,0.6,0.4,1,0.2,"Yes","Yes","No","Stable Cycling","No"
0,0.4,0.4,0.6,0.4,1,0.3,"Yes","Yes","No","Stable Cycling","No"
0,0.4,0.5,0.6,0.4,1,0.4,"Yes","Yes","No","Stable Cycling","No"
0,0.1,0.5,0,0.4,0.5,0.4,"Yes","Yes","Yes","No","No"
0,0.1,0.5,0,0.4,1,0.4,"Yes","Yes","Yes","No","No"
0,0.1,0.6,0,0.4,1,0.5,"Yes","Yes","Yes","No","No"
0,0.2,0.4,0,0.4,0.5,0.3,"Yes","Yes","Yes","No","No"
0,0.2,0.5,0,0.4,0.5,0.4,"Yes","Yes","Yes","No","No"
0,0.2,0.4,0,0.4,1,0.3,"Yes","Yes","Yes","Dampened Cycling","No"
0,0.2,0.5,0,0.4,1,0.4,"Yes","Yes","Yes","Dampened Cycling","No"
0,0.2,0.6,0,0.4,1,0.5,"Yes","Yes","Yes","Dampened Cycling","No"
0,0.2,0.7,0,0.4,1,0.6,"Yes","Yes","Yes","Dampened Cycling","No"
0,0.1,0.1,0.4,0.2,0.5,0.1,"Yes","Yes","Yes","No","No"
0,0.1,0.1,0.4,0.4,0.5,0.1,"Yes","Yes","Yes","No","No"
0,0.1,0.2,0.4,0.2,0.5,0.1,"Yes","Yes","Yes","No","No"
0,0.1,0.2,0.4,0.4,0.5,0.1,"Yes","Yes","Yes","No","No"
0,0.1,0.1,0.4,0.2,0.5,0.2,"Yes","Yes","Yes","No","No"
0,0.1,0.1,0.4,0.4,0.5,0.2,"Yes","Yes","Yes","No","No"
0,0.1,0.2,0.4,0.2,0.5,0.2,"Yes","Yes","Yes","No","No"
0,0.1,0.2,0.4,0.4,0.5,0.2,"Yes","Yes","Yes","No","No"
0,0.1,0.3,0.4,0.2,0.5,0.2,"Yes","Yes","Yes","No","No"
0,0.1,0.3,0.4,0.4,0.5,0.2,"Yes","Yes","Yes","No","No"
0,0.1,0.2,0.4,0.2,0.5,0.3,"Yes","Yes","Yes","No","No"
0,0.1,0.2,0.4,0.4,0.5,0.3,"Yes","Yes","Yes","No","No"
0,0.1,0.3,0.4,0.2,0.5,0.3,"Yes","Yes","Yes","No","No"
0,0.1,0.3,0.4,0.4,0.5,0.3,"Yes","Yes","Yes","No","No"
0,0.1,0.4,0.4,0.4,0.5,0.3,"Yes","Yes","Yes","No","No"
0,0.1,0.3,0.4,0.2,0.5,0.4,"Yes","Yes","Yes","No","No"
0,0.1,0.3,0.4,0.4,0.5,0.4,"Yes","Yes","Yes","No","No"
0,0.1,0.4,0.4,0.4,0.5,0.4,"Yes","Yes","Yes","No","No"
0,0.1,0.4,0.4,0.4,0.5,0.5,"Yes","Yes","Yes","No","No"
0,0.1,0.6,0.4,0.4,0.5,0.5,"No","No","Yes","No","No"
0,0.1,0.7,0.4,0.4,0.5,0.6,"No","No","Yes","No","No"
0,0.1,0.7,0.4,0.4,0.5,0.7,"No","No","Yes","No","No"
0,0.1,0.7,0.4,0.4,0.5,0.8,"No","No","Yes","No","No"
0,0.1,0.1,0.4,0.2,0.5,0,"No","No","Yes","No","No"
0,0.1,0.1,0.4,0.4,0.5,0,"No","No","Yes","No","No"
0,0.1,0.2,0.4,0.2,0.5,0,"No","No","Yes","No","No"
0,0.1,0.2,0.4,0.4,0.5,0,"No","No","Yes","No","No"
0,0.1,0.3,0.4,0.2,0.5,0,"No","No","Yes","No","No"
0,0.1,0.3,0.4,0.4,0.5,0,"No","No","Yes","No","No"
